coach_id,display_name,team_id,role,age,years_experience,coaching_tree,prior_head_coach,contract_years_remaining,hot_seat_rating,overall_rating,data_class
CCH0001,Lyle Sigler,BUF,Head Coach,64,38,Defensive,0,2,22,72,GENERATED
CCH0002,Palmer Hagerty,BUF,Offensive Coordinator,43,10,Offensive,0,2,37,51,GENERATED
CCH0003,Wendell Rowlett,BUF,Defensive Coordinator,39,6,Offensive,0,3,61,63,GENERATED
CCH0004,Merle Nkemdiche,BUF,Special Teams Coordinator,29,3,Offensive,0,1,53,50,GENERATED
CCH0005,Melvin Padgett,BUF,Assistant Head Coach,44,9,Offensive,0,2,24,56,GENERATED
CCH0006,Walter Simmerman,BUF,Quarterbacks Coach,43,6,Offensive,0,2,31,56,GENERATED
CCH0007,Fitzgerald Ingersoll,BUF,Running Backs Coach,39,12,Defensive,0,1,16,54,GENERATED
CCH0008,Granville Isbell,BUF,Wide Receivers Coach,52,15,Offensive,1,1,39,49,GENERATED
CCH0009,Simeon Stillwagon,BUF,Tight Ends Coach,44,9,Front Office,0,2,34,55,GENERATED
CCH0010,Dale Ayers,BUF,Offensive Line Coach,30,1,Offensive,0,2,28,58,GENERATED
CCH0011,Maurice Hunnicutt,BUF,Defensive Line Coach,39,9,Defensive,0,2,5,76,GENERATED
CCH0012,Elliot Odenigbo,BUF,Outside Linebackers Coach,53,15,Defensive,0,2,21,61,GENERATED
CCH0013,Upton Bascomb,BUF,Linebackers Coach,39,12,Defensive,0,4,38,60,GENERATED
CCH0014,Osborne Uche,BUF,Defensive Backs Coach,50,14,Defensive,0,4,59,43,GENERATED
CCH0015,Ralph Tatupu,BUF,Strength & Conditioning,57,27,Front Office,0,1,41,82,GENERATED
CCH0016,Delmar Spielman,MIA,Head Coach,53,18,Offensive,0,1,63,70,GENERATED
CCH0017,Lawrence Stockton,MIA,Offensive Coordinator,54,15,Offensive,1,2,29,69,GENERATED
CCH0018,Everett Prioleau,MIA,Defensive Coordinator,41,6,Defensive,0,1,16,64,GENERATED
CCH0019,Roy Legette,MIA,Special Teams Coordinator,59,34,Defensive,0,3,37,61,GENERATED
CCH0020,Kenneth Legette,MIA,Assistant Head Coach,47,9,Defensive,0,4,45,65,GENERATED
CCH0021,Bruce Shepley,MIA,Quarterbacks Coach,36,6,Defensive,0,1,60,46,GENERATED
CCH0022,Clarence Mathurin,MIA,Running Backs Coach,45,17,Defensive,0,3,52,65,GENERATED
CCH0023,Merle Hawkes,MIA,Wide Receivers Coach,32,6,Offensive,0,4,23,53,GENERATED
CCH0024,Winston Welbourne,MIA,Tight Ends Coach,40,5,Defensive,0,3,32,60,GENERATED
CCH0025,Stuart Herrera,MIA,Offensive Line Coach,43,13,Defensive,0,2,31,59,GENERATED
CCH0026,Leon Cromartie,MIA,Defensive Line Coach,44,14,Special Teams,0,1,56,57,GENERATED
CCH0027,Monte Calloway,MIA,Outside Linebackers Coach,45,9,Defensive,0,3,42,49,GENERATED
CCH0028,Phillip Thibodeaux,MIA,Linebackers Coach,35,5,Offensive,0,4,48,60,GENERATED
CCH0029,Russell Grantham,MIA,Defensive Backs Coach,47,11,Defensive,0,2,54,75,GENERATED
CCH0030,Douglas Olawale,MIA,Strength & Conditioning,44,5,Defensive,0,4,53,49,GENERATED
CCH0031,Garth Bellinger,NE,Head Coach,47,15,Defensive,0,3,41,63,GENERATED
CCH0032,Phillip Keeler,NE,Offensive Coordinator,36,3,Defensive,0,2,38,67,GENERATED
CCH0033,Leon Zylstra,NE,Defensive Coordinator,50,11,Offensive,0,3,38,67,GENERATED
CCH0034,Purcell Kraft,NE,Special Teams Coordinator,48,19,Special Teams,0,2,22,83,GENERATED
CCH0035,Ellsworth Lasseter,NE,Assistant Head Coach,37,4,Offensive,0,3,20,45,GENERATED
CCH0036,Lowell Beecham,NE,Quarterbacks Coach,38,5,Offensive,0,3,30,53,GENERATED
CCH0037,Xavier Fairbanks,NE,Running Backs Coach,45,9,Offensive,0,2,9,64,GENERATED
CCH0038,Sheldon Restrepo,NE,Wide Receivers Coach,47,10,Offensive,0,3,13,70,GENERATED
CCH0039,Ulysses Ricciardi,NE,Tight Ends Coach,38,11,Offensive,0,4,4,63,GENERATED
CCH0040,Hal Wanogho,NE,Offensive Line Coach,47,18,Offensive,1,3,46,67,GENERATED
CCH0041,Linwood Gwaltney,NE,Defensive Line Coach,45,5,Defensive,0,1,18,59,GENERATED
CCH0042,Clarence Brasher,NE,Outside Linebackers Coach,44,14,Offensive,0,1,38,62,GENERATED
CCH0043,Cornelius Sutherland,NE,Linebackers Coach,35,5,Defensive,0,1,36,55,GENERATED
CCH0044,Ronald Kamara,NE,Defensive Backs Coach,39,7,Defensive,0,1,35,66,GENERATED
CCH0045,Stanley Somerville,NE,Strength & Conditioning,61,25,Offensive,0,2,70,78,GENERATED
CCH0046,Waldo Vinovich,NYJ,Head Coach,47,8,Offensive,0,3,21,77,GENERATED
CCH0047,Ellsworth Marinelli,NYJ,Offensive Coordinator,45,8,Offensive,0,4,34,60,GENERATED
CCH0048,Marvin Whitehurst,NYJ,Defensive Coordinator,40,6,Defensive,0,3,25,69,GENERATED
CCH0049,Raymond Schreiber,NYJ,Special Teams Coordinator,34,10,Offensive,0,4,33,70,GENERATED
CCH0050,Sylvester Brody,NYJ,Assistant Head Coach,41,6,Defensive,0,3,59,57,GENERATED
CCH0051,Edwin Seabrook,NYJ,Quarterbacks Coach,44,9,Offensive,0,1,27,64,GENERATED
CCH0052,Roy Maunakea,NYJ,Running Backs Coach,48,22,Defensive,0,3,34,62,GENERATED
CCH0053,Barrett Dillard,NYJ,Wide Receivers Coach,49,5,Defensive,0,4,18,60,GENERATED
CCH0054,Earl Cromartie,NYJ,Tight Ends Coach,50,21,Front Office,0,3,39,93,GENERATED
CCH0055,Octavius Isbell,NYJ,Offensive Line Coach,45,22,Defensive,1,4,9,62,GENERATED
CCH0056,Douglas Rutledge,NYJ,Defensive Line Coach,46,14,Special Teams,0,2,28,60,GENERATED
CCH0057,Floyd Chukwu,NYJ,Outside Linebackers Coach,45,3,Defensive,0,1,39,65,GENERATED
CCH0058,Waldo Navarrete,NYJ,Linebackers Coach,49,19,Offensive,0,3,14,65,GENERATED
CCH0059,Chuck Mallett,NYJ,Defensive Backs Coach,29,6,Offensive,0,4,16,61,GENERATED
CCH0060,Rex Zamora,NYJ,Strength & Conditioning,32,4,Defensive,0,2,16,67,GENERATED
CCH0061,Norman Keeler,BAL,Head Coach,36,15,Front Office,0,4,26,81,GENERATED
CCH0062,Dennis Tartt,BAL,Offensive Coordinator,39,6,Defensive,0,2,9,60,GENERATED
CCH0063,Neal Hennessy,BAL,Defensive Coordinator,45,17,Defensive,0,1,13,70,GENERATED
CCH0064,Warren Fowler,BAL,Special Teams Coordinator,46,11,Offensive,0,2,2,69,GENERATED
