prospect_id,draft_year,display_name,position,position_group,college_id,college_name,age,height_inches,weight_lbs,scout_grade,projected_round,floor_rating,ceiling_rating,bust_risk,forty_yard,scouting_confidence,prospect_class,data_class
PRO2027_001,2027,Finley Gerhardt,CB,Secondary,COL0109,Quarry Hill A&M,21,67,197,61.0,Round 6,47,73,14,4.41,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_002,2027,Duncan Quinones,DT,Front Seven,COL0114,Kingsbridge University,20,76,322,70.9,Round 4,64,87,22,4.52,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_003,2027,Nathanial Dobbins,S,Secondary,COL0148,Cedar Falls State,21,72,221,64.5,Round 5,57,76,33,4.32,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_004,2027,Ivan Flannery,P,Specialist,COL0151,Cedar Falls A&M,21,73,221,57.0,Round 7,49,70,83,4.33,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_005,2027,Tobias Winovich,QB,Quarterback,COL0195,Pinehurst Valley Institute,21,74,239,67.5,Round 5,62,78,42,4.43,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_006,2027,Kenyon Rinaldi,WR,Receiver,COL0005,Calderwood College,21,69,206,56.9,Round 7,47,64,51,4.47,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_007,2027,Rocco Marsalis,RB,Backfield,COL0055,Redbluff Institute,21,68,211,62.1,Round 6,55,79,35,4.33,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_008,2027,Peyton Kolodziej,EDGE,Front Seven,COL0206,Lakemont Tech,21,74,257,66.2,Round 5,60,75,30,4.45,LOW,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_009,2027,Auden Hobbs,LB,Front Seven,COL0145,Whitepine College,23,74,240,45.4,Priority UDFA,36,64,59,4.45,HIGH,FICTIONAL_GENERATED_PROSPECT,GENERATED
PRO2027_010,2027,Kason Pepperell,RB,Backfield,COL0152,Cedar Falls College,22,68,213,71.1,Round 4,66,83,42,4.53,MEDIUM,FICTIONAL_GENERATED_PROSPECT,GENERATED
